Item,Grupo,Empresa,Melhor Lance,Valor Negociado,Quantidade Homologada,CNPJ
233,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"32,6830","32,6800",182,36.330.093/0001-60
236,-,MINAS BRAZIL DISTRIBUIDORA EIRELI,"5,3900",,1700,51.048.656/0001-15
239,-,J.LAVANDOSKI FERRAGENS,"10,2000",,1075,36.673.446/0001-24
240,-,DELVALLE MATERIAIS ELETRICOS LTDA,"7,2000",,1150,37.227.550/0001-58
241,-,DELVALLE MATERIAIS ELETRICOS LTDA,"5,3500",,1130,37.227.550/0001-58
242,-,DELVALLE MATERIAIS ELETRICOS LTDA,"11,3700",,1080,37.227.550/0001-58
243,-,DELVALLE MATERIAIS ELETRICOS LTDA,"7,8000",,1150,37.227.550/0001-58
244,-,DELVALLE MATERIAIS ELETRICOS LTDA,"10,1200",,1050,37.227.550/0001-58
245,-,DELVALLE MATERIAIS ELETRICOS LTDA,"7,7400",,910,37.227.550/0001-58
246,-,DELVALLE MATERIAIS ELETRICOS LTDA,"19,4200",,830,37.227.550/0001-58
248,-,DELVALLE MATERIAIS ELETRICOS LTDA,"10,1000",,295,37.227.550/0001-58
249,-,J.LAVANDOSKI FERRAGENS,"16,4900",,580,36.673.446/0001-24
250,-,J.LAVANDOSKI FERRAGENS,"22,6800",,570,36.673.446/0001-24
251,-,J.LAVANDOSKI FERRAGENS,"256,7300",,101,36.673.446/0001-24
252,-,MINAS BRAZIL DISTRIBUIDORA EIRELI,"340,0000","301,0400",86,51.048.656/0001-15
253,-,MINAS BRAZIL DISTRIBUIDORA EIRELI,"539,1500",,82,51.048.656/0001-15
254,-,MINAS BRAZIL DISTRIBUIDORA EIRELI,"116,7500",,146,51.048.656/0001-15
256,-,AMILTON GUIMARAES E CIA LTDA,"98,2254","98,2200",35,71.511.349/0001-36
258,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"100000,0000","90,2400",44,36.330.093/0001-60
259,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"100000,0000","27,2400",76,36.330.093/0001-60
260,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"10000,0000","39,6400",33,36.330.093/0001-60
272,-,AMILTON GUIMARAES E CIA LTDA,"288,1200","284,3800",6,71.511.349/0001-36
274,-,AMILTON GUIMARAES E CIA LTDA,"3976,0560","3976,0500",7,71.511.349/0001-36
275,-,F & R SOLUCOES ADMINISTRATIVAS LTDA,"57,8102","57,8100",34,36.330.093/0001-60
291,-,DELVALLE MATERIAIS ELETRICOS LTDA,"58,8500",,18,37.227.550/0001-58
292,-,DELVALLE MATERIAIS ELETRICOS LTDA,"53,0000",,19,37.227.550/0001-58
313,-,ALEXANDRE FREIRE,"10,6900",,220,39.334.587/0001-00
319,-,S.A. DE JESUS COMERCIO DE MATERIAIS DE CONSTRUCAO,"24,9600",,78,21.896.826/0001-50
323,-,RM COMERCIO DE MERCADORIAS E MATERIAIS LTDA,"4,8500",,290,20.784.313/0001-95
335,-,S.A. DE JESUS COMERCIO DE MATERIAIS DE CONSTRUCAO,"54,9500","54,9400",41,21.896.826/0001-50
80,15,F & R SOLUCOES ADMINISTRATIVAS LTDA,"100000,0000","40,3500",30,36.330.093/0001-60
82,15,F & R SOLUCOES ADMINISTRATIVAS LTDA,"10000,0000","4,5000",100,36.330.093/0001-60
83,15,F & R SOLUCOES ADMINISTRATIVAS LTDA,"10000,0000","49,0000",50,36.330.093/0001-60
84,15,F & R SOLUCOES ADMINISTRATIVAS LTDA,"1000000,0000","38,8000",10,36.330.093/0001-60
86,15,F & R SOLUCOES ADMINISTRATIVAS LTDA,"10000,0000","36,9700",20,36.330.093/0001-60
129,15,F & R SOLUCOES ADMINISTRATIVAS LTDA,"10000,0000","91,3500",51,36.330.093/0001-60
114,16,MINAS BRAZIL DISTRIBUIDORA EIRELI,"9,4000",,93,51.048.656/0001-15
116,16,MINAS BRAZIL DISTRIBUIDORA EIRELI,"8,5200",,209,51.048.656/0001-15
117,16,MINAS BRAZIL DISTRIBUIDORA EIRELI,"7,0900",,176,51.048.656/0001-15
118,16,MINAS BRAZIL DISTRIBUIDORA EIRELI,"20,5300",,153,51.048.656/0001-15
158,21,"VOGLIO IMPORTADORA, EXPORTADORA E REPRESENTACOES LTDA.","3,7100",,990,47.171.447/0001-97
159,21,"VOGLIO IMPORTADORA, EXPORTADORA E REPRESENTACOES LTDA.","6,0500",,2287,47.171.447/0001-97
161,21,"VOGLIO IMPORTADORA, EXPORTADORA E REPRESENTACOES LTDA.","6,0200",,848,47.171.447/0001-97
208,23,RM COMERCIO DE MERCADORIAS E MATERIAIS LTDA,"6,5200",,550,20.784.313/0001-95
210,23,RM COMERCIO DE MERCADORIAS E MATERIAIS LTDA,"6,7500",,575,20.784.313/0001-95
211,23,RM COMERCIO DE MERCADORIAS E MATERIAIS LTDA,"7,8100",,610,20.784.313/0001-95
212,23,RM COMERCIO DE MERCADORIAS E MATERIAIS LTDA,"5,1600",,555,20.784.313/0001-95
311,29,I.R. COMERCIO E MATERIAIS ELETRICOS LTDA,"4,9000",,1279,33.149.502/0001-38
312,29,I.R. COMERCIO E MATERIAIS ELETRICOS LTDA,"2,9400","2,4900",879,33.149.502/0001-38
175,30,AUGE LUZ MATERIAIS ELETRICOS LTDA,"5,5900",,560,42.698.864/0001-79
176,30,AUGE LUZ MATERIAIS ELETRICOS LTDA,"5,6000",,570,42.698.864/0001-79
177,30,AUGE LUZ MATERIAIS ELETRICOS LTDA,"2,3500",,570,42.698.864/0001-79
178,30,AUGE LUZ MATERIAIS ELETRICOS LTDA,"5,0000",,550,42.698.864/0001-79
179,30,AUGE LUZ MATERIAIS ELETRICOS LTDA,"4,3460","4,3400",590,42.698.864/0001-79
