Item,Grupo,Descrição,Descrição Detalhada,Quantidade,Unidade de Fornecimento,Valor Estimado,Situação,Empresa,Melhor Lance,Valor Negociado
245,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Temperatura Operação: Sobrecarga: 100°C Curto-Circuito: 160 °C, Têmpera Condutor: Mole , Classe Encordoamento: 2 , Material Do Condutor: Cobre , Formação Do Cabo: 2 X 6 MM2, Tipo: Pp Bipolar , Material Isolamento: Composto Termoplástico Pvc Antichama",910,Metro,"8,8000",Homologado,,,
246,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Formação Condutor: 3 X 10 MM, Material Do Condutor: Cobre , Tipo: Pp Multipolar , Material Isolamento: Pvc Anti-Chama",830,Metro,"24,6600",Homologado,,,
248,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Referência: Cabo Exprotemax Gsett Iris Tech Epr 06/1kv , Material Cobertura: Epr Anti-Chama , Tensão Isolamento: 1 KV, Seção Nominal: 16 MM2, Têmpera Condutor: Mole , Material Do Condutor: Cobre Nu , Cor Da Cobertura: Preto, Azul-Claro E Verde , Tipo: Unipolar , Características Adicionais: Extra Flexível",295,Metro,"12,0000",Homologado,,,
249,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Referência: Cabo Exprotemax Gsett Iris Tech Epr 06/1kv , Material Cobertura: Epr Anti-Chama , Tensão Isolamento: 1 KV, Seção Nominal: 25 MM2, Têmpera Condutor: Mole , Material Do Condutor: Cobre Nu , Cor Da Cobertura: Preto, Azul-Claro E Verde , Tipo: Unipolar , Características Adicionais: Extra Flexível",580,Metro,"17,9000",Homologado,,,
250,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Referência: Cabo Exprotemax Gsett Iris Tech Epr 06/1kv , Material Cobertura: Epr Anti-Chama , Tensão Isolamento: 1 KV, Seção Nominal: 35 MM2, Têmpera Condutor: Mole , Material Do Condutor: Cobre Nu , Cor Da Cobertura: Preto, Azul-Claro E Verde , Tipo: Unipolar , Características Adicionais: Extra Flexível",570,Metro,"26,7200",Homologado,,,
251,-,Cabo Elétrico Isolado,"Cabo Elétrico Isolado Tensão Isolamento: 750 V, Seção Nominal: 4 MM2, Têmpera Condutor: Mole , Cor Do Isolamento: Preta Branca Vermelha Verde E Azul , Normas Técnicas: Nbr Nm 247-3; Nm 280 , Material Condutor: Cobre , Material Isolamento: Pvc Flexível Antichama",101,"Rolo 100,00 M","278,3500",Homologado,,,
252,-,Cabo Elétrico Isolado,"Cabo Elétrico Isolado Tensão Isolamento: 750 V, Seção Nominal: 6 MM2, Têmpera Condutor: Mole , Cor Do Isolamento: Preta Branca Vermelha Verde E Azul , Normas Técnicas: Nbr Nm 247-3; Nm 280 , Material Condutor: Cobre , Material Isolamento: Pvc Flexível Antichama",86,"Rolo 100,00 M","340,0000",Homologado,,,
253,-,Cabo elétrico isolado,"Cabo Elétrico Isolado Tensão Isolamento: 750 V, Seção Nominal: 10 MM2, Têmpera Condutor: Mole , Cor Do Isolamento: Preta Branca Vermelha Verde E Azul , Normas Técnicas: Nbr Nm 247-3; Nm 280 , Material Condutor: Cobre , Material Isolamento: Pvc Flexível Antichama",82,"Rolo 100,00 M","539,1500",Homologado,,,
254,-,Cabo Elétrico Isolado,"Cabo Elétrico Isolado Tensão Isolamento: 750 V, Seção Nominal: 2,5 MM2, Têmpera Condutor: Mole , Cor Do Isolamento: Preta Branca Vermelha Verde E Azul , Normas Técnicas: Nbr Nm 247-3; Nm 280 , Material Condutor: Cobre , Material Isolamento: Pvc Flexível Antichama",146,"Rolo 100,00 M","116,7500",Homologado,,,
256,-,Alicate amperímetro,"Alicate Amperímetro Material: Plástico , Voltagem Bateria: 9 V, Corrente: 20 A/ 200 A/ 1.000 A A, Aplicação: Eletricidade , Tipo: Digital , Alimentação: Bateria , Resistência: 2 MOHM, Voltagem: 750v Ac E 1000v Dc",35,Unidade,"110,4300",Homologado,,,
257,-,Alicate bico,"Alicate Bico Material: Aço Cromo Vanádio , Acabamento Superficial: Fosfatizado , Aplicação: Equipamentos E Instações Elétricas , Comprimento: 6 1/4 POL, Tipo: Chato E Longo , Tipo Cabo: Isolado 1.Ooo Volts",76,Unidade,"27,1200",Cancelado no julgamento,,,
258,-,Alicate bico,"Alicate Bico Material: Aço Cromo Vanádio , Aplicação: Manutenção Equipamentos Eletrônicos , Comprimento: 8 POL, Tipo: Fino E Curvo , Tipo Cabo: Isolado",44,Unidade,"90,2400",Homologado,,,
259,-,Alicate de corte,"Alicate De Corte Tipo Corte: Diagonal , Material: Aço Cromo Vanádio , Comprimento: 6 POL, Tipo Cabo: Isolado 1.Ooo Volts , Material Cabo: Plástico",76,Unidade,"27,2400",Homologado,,,
260,-,Alicate descascar fio,"Alicate Descascar Fio Material: Aço , Acabamento: Revestimento Isolado , Comprimento: 112 MM, Características Adicionais: Cabo Utp/Ftp Cftv Rg58/Rg59/Rg62,Cabos Elétricos",33,Unidade,"39,6400",Homologado,,,
262,-,Bolsa ferramenta,"Bolsa Ferramenta Material: Lona , Material Fundo: Plástico Reforçado , Altura: 300 MM, Comprimento: 450 MM, Cor: Preta E Amarela , Tipo: Impermeável , Largura: 200 MM, Características Adicionais: 22 Divisões/Bolsos,12 Interna E 10 Externa , Material Armação: Metal",48,Unidade,"119,2500",Cancelado no julgamento,,,
271,-,Estação solda,"Estação Solda Tipo Corrente: Alternada , Formato Ponta: Cônico , Controle Termostático: Incluído , Valor Resistência: 90 W, Pressão Sucção Sugador: 200 ML/MIN, Aplicação: Soldar/Desoldar Componentes Eletrônicos , Tipo Ponta: Removível , Características Adicionais: Controle De Calor Digital: 200 A 400°C,  Saída  De , Tensão Alimentação: 220 V, Temperatura Máxima: 204 A 454 °",18,Unidade,"347,5000",Cancelado no julgamento,,,
272,-,Fasímetro,"Fasímetro Aplicação: Indicação De Fases Abertas , Escala Medição Tensão Alternada: 600 V, Classe: Nível Segurança Cat.Ii De Precisão Básica 0,05% , Tipo: Portátil , Características Adicionais: Indicadores Led P/ Seqüência Trifásica , Acessórios: Pontas De Prova, Bolsa P/ Transporte E Manual",6,Unidade,"284,3800",Homologado,,,
273,-,Ferro de soldar,"Ferro De Soldar Comprimento Cabo: 100 CM, Formato Ponta: Reta , Aplicação: Serviços De Manutenção , Tipo Ponta: Removível , Características Adicionais: Com Suporte Para Descanso , Potência: 70 W, Material Cabo: Plástico , Tensão: 220",24,Unidade,"49,6300",Cancelado no julgamento,,,
274,-,Megômetro,"Megômetro Aplicação: Medição De Resistência De Isolamento De Cabos , Tensão De Teste: Máximo 5 Kv , Tipo: Portátil E Digital , Características Adicionais: Teste Vida Útil De Cabos, Faixa De Medida De 25 Gi , Acessórios: Bolsa Para Transporte, 2 Jogo Baterias Recarregáve",7,Unidade,"4.140,0000",Homologado,,,
275,-,Multímetro,"Multímetro Sensibilidade: 20 Kohm/V (Dc) E 5 Kohm/V (Ac) , Tensão Ac: 2,5 A 1.000 V, Corrente Dc: 50 Ma A 10 A, Tensão Dc: 250 Mv A 1.000 V, Dimensões: 180 X 140 X 80 MM, Tipo: Analógico E Portátil , Funcionamento: Baterias 1,5v (Aa) , Características Adicionais: Com Proteção De Sobrecarga E Baterias Internas , Tensão: 1.000 V, Peso: 1.400 G, Resistência: 0-2 Kohm A 0-20 MOH",34,Unidade,"58,9900",Homologado,,,
276,-,Sugador solda,"Sugador Solda Temperatura: 380 °C, Material Corpo: Ferro , Pressão Sucção: 500 MMHG, Consumo: 160 W, Cor: Preta , Tensão Alimentação: 220 V, Tipo Funcionamento: Elétrico",1,Unidade,"0,0001",Cancelado no julgamento,,,
277,-,Sugador solda,"Sugador Solda Material Corpo: Plástico , Comprimento: 192 MM, Cor: Azul , Diâmetro Corpo: 22 MM, Tipo Funcionamento: Manual",10,Unidade,"13,4600",Cancelado no julgamento,,,
278,-,Trena eletrônica,"Trena Eletrônica Tipo Visor: Cristal Líquido , Alcance: 100 M, Caracteristicas Adicionais: Função Trilha/Medidas Contínuas/Adaptável A Tripé , Método De Medição: A Laser , Tipo: Digital",18,Unidade,"228,5900",Cancelado no julgamento,,,
279,-,Escada extensível de alumínio,"Material: Alumínio, Tipo Degraus: 2 X 13, Capacidade: 150 KG, Tipo Sapata: Borracha Antiderrapante, Quantidade Degraus: 26 UN, Altura Fechada: 4,16 M, Altura Aberta: 3,89 M, Altura Estendida: 6,88 M, Características Adicionais: Rodízios Na Parte Superior,",19,Unidade,"749,0000",Cancelado no julgamento,,,
282,-,Jogo chave,"Jogo Chave Material: Aço Cromo Vanádio , Componentes: Chave Catraca, 31 Soquetes 1/4"", 4 Soquetes 3/8"" , Quantidade Peças: 40 , Tipo: Chave Catraca Para Soquete Sextavados , Acessórios: Extensão, Adaptador, Estojo",23,Jogo,"79,7700",Cancelado no julgamento,,,
283,-,Jogo chave,"Jogo Chave Material: Aço Cromo Vanádio , Acabamento Superficial: Niquelado E Cromado , Componentes: 7/8"", 15/16"", 1"", 1.1/16"", 1.1/4"", 1.7/16"", 1.1/2"" , Aplicação: Consertos Em Geral , Quantidade Peças: 14 , Tipo: Soquete 3/4"" Estriado , Características Adicionais: Com Catraca Simples , Acessórios: Duas Extensões 8"" E 16""; Um Cabo De Força Em ""T""",23,Jogo,"354,6400",Cancelado no julgamento,,,
284,-,Jogo chave,"Jogo Chave Material: Aço Cromo Vanádio , Componentes: Manivela, Cabo T, Extensão De 5 E 10 Pol, Catraca , Quantidade Peças: 18 , Tipo: Soquete Polegada , Características Adicionais: Com Canhão Extriado Interno De 1 Pol",21,Jogo,"234,4500",Cancelado por inexistência de proposta,,,
285,-,Jogo chave,"Jogo Chave Material: Aço Forjado , Componentes: 4 Chaves Fenda Simples E 4 Chave Fenda Philips , Quantidade Peças: 8 , Tamanho: Variado (Mini E Extra-Longo)",19,Jogo,"60,0000",Cancelado por inexistência de proposta,,,
286,-,Jogo chave,"Jogo Chave Material: Aço Vanádio , Componentes: 1.5,2,2.5,3,4,5,6,7,8,9,10mm, 1/16,5/64,3/32,1/8, , Quantidade Peças: 22 , Tipo: Hexagonal",19,Jogo,"92,9200",Cancelado no julgamento,,,
287,-,Jogo chave,"Material: Aço Cromo Vanádio, Componentes: T6, T7, T8, T9, T10, T15, T20, T25, T27, T30 E T40, Aplicação: Manutenção Equipamento Mecânico / Eletrônico, Quantidade Peças: 11, Tratamento Superficial Ponta: Fosfatizado, Tipo: Torx, Material Cabo: Polipropileno,",29,Jogo,"44,7500",Cancelado por inexistência de proposta,,,
288,-,Chave ajustável,"Material: Aço Cromo Vanádio, Tipo: Inglesa, Tamanho: 8 POL,",19,Unidade,"41,2700",Cancelado no julgamento,,,
291,-,Quadro distribuição,"Material: Pvc, Aplicação: Instalação Elétrica, Fixação: Sobrepor, Quantidade De Disjuntores: 18/24 Disjuntores Dyn, Cor: Branca, Acessórios: Com Barramento Com Porta Transparente,",18,Unidade,"98,4700",Homologado,,,
292,-,Quadro distribuição,"Material: Pvc, Aplicação: Instalação Elétrica, Fixação: Embutir, Quantidade De Disjuntores: 18/24 Disjuntores Dyn, Cor: Branca, Acessórios: Com Barramento Com Porta Transparente,",19,Unidade,"95,0300",Homologado,,,
293,-,Quadro distribuição,"Revestimento: Pvc, Aplicação: Proteção Circuito Elétrico, Barramento: Sem Barramento, Quantidade Ramais: 1, Quantidade Circuitos: 1, Cor: Cinza, Tipo: Sobrepor, Tamanho: 5 X 12 CM, Características Adicionais: Para Disjuntores ""Din"", Quantidade Fases: 1,",69,Unidade,"8,1700",Cancelado por inexistência de proposta,,,
294,-,Abafador ruído auricular,"Abafador Ruído Auricular Material: Polietileno , Uso: Absorção Ruído , Cor: Vermelha , Tamanho: Regulável , Características Adicionais: Nível De Redução Ruído Acima De 85 Db , Formato: Concha",139,Unidade,"31,7900",Cancelado por inexistência de proposta,,,
295,-,Abafador ruído auricular,"Abafador Ruído Auricular Material: Polietileno , Uso: Absorção Ruído , Aplicação: Proteção Auricular Em Trabalho Mecânico , Tamanho: Regulável , Características Adicionais: Nível De Redução Ruído Igual Ou Superior A 25 Db , Formato: Semicircular",65,Unidade,"37,6900",Cancelado por inexistência de proposta,,,
304,-,Luva segurança,"Luva Segurança Material: Vaqueta , Modelo: Cano Longo , Forma: 5 Dedos , Tipo: Anatômica , Características Adicionais: Elástico Dorso, Reforço Palma, Reforço Polegar",150,Par,"16,1300",Cancelado no julgamento,,,
305,-,Óculos proteção,"Óculos Proteção Cor Lente: Incolor , Aplicação: Proteção Geral , Material Lente: Policarbonato , Tipo Proteção: Total , Tipo Lente: Anti-Risco, Anti-Embaçante, Anti-Reflexo , Material Armação: Nylon E Pvc Flexível , Cor Armação: Preta",173,Unidade,"39,0800",Cancelado no julgamento,,,
306,-,Capacete segurança,"Capacete Segurança Material: Acrilonitrila-Butadieno-Estireno (Abs) , Aplicação: Hipismo , Características Adicionais: Forrado Com Espuma E Tecido/Fixação De Três Pontas",65,Unidade,"93,0000",Cancelado por inexistência de proposta,,,
307,-,Detector ausencia tensão,"Detector Ausencia Tensão Uso: Em Vara De Manobra , Aplicação: Medição Rede De Média Tensão , Faixa Tensão: 1 A 50 KV, Tipo: Por Contato",6,Unidade,"775,0000",Cancelado por inexistência de proposta,,,
308,-,Vara de manobra,"Vara De Manobra Material: Fibra Vidro , Componentes: Cabeçote Manobra Com Trava Anti-Queda E Haste Aço , Aplicação: Sistemas Energizados De Alta Tensão , Comprimento: Entre 7 E 9 M, Tipo: Telescópio , Características Adicionais: Modular De 6 Posições , Normas Técnicas: Nbr 11854",4,Unidade,"1.537,3200",Cancelado por inexistência de proposta,,,
313,-,Pilha recarregavel,"Pilha Recarregavel Modelo: Aa , Aplicação: Equipamentos Eletrônicos , Capacidade Corrente: 2.300 MAH, Tensão: 1,5 V, Composição: Níqual Metal Hidreto (Nimh)",220,Unidade,"10,6900",Homologado,,,
317,-,Relé falta de fase e terra,"Relé Falta De Fase E Terra Referência: Rm4tg20 (Schneider) , Número De Fases: Trifásico , Contato: 2na/Nf , Tipo Construtivo: Eletromecânico , Tensão Alimentação: 220",62,Unidade,"87,1400",Cancelado por inexistência de proposta,,,
319,-,Relé fotelétrico,"Relé Fotelétrico Potência Nominal: 1000 W, Características Adicionais: Com Base E Suporte De Fixação , Tensão Nominal: Bivolt 127/220",78,Unidade,"24,9600",Homologado,,,
322,-,Soquete lâmpada,"Soquete Lâmpada Material: Polipropileno , Tensão Máxima Operação: 250 V, Corrente Nominal: 2 A, Tipo: Push-In Antivibratório , Características Adicionais: Com Rabicho , Tipo Base: G13 De Engate Rápido , Tipo Bulbo: T8 , Tipo Lâmpada: Fluorescente Tubular",325,Unidade,"2,9100",Cancelado por inexistência de proposta,,,
323,-,Soquete lâmpada,"Soquete Lâmpada Referência: 326033059 , Material: Porcelana , Aplicação: Refrigerador Consul Dup. Frostfree Crm 44 , Tipo Base: E-27 , Tensão Nominal: 110/220 V, Tipo Lâmpada: Incandescente , Potência Máxima: 40",290,Unidade,"4,9500",Homologado,,,
324,-,Soquete lâmpada,Soquete Lâmpada Tipo Lâmpada: Fluorescente Tubular,470,Unidade,"3,7800",Cancelado por inexistência de proposta,,,
327,-,Solda Estanho,"Solda Estanho Aspecto Físico: Sólido , Aplicação: Ferro De Solda , Característica Adicionais: Liga Metálica 60/40 , Largura: 1 MM, Formato: Carretel",28,"Rolo 500,00 G","95,9500",Cancelado por inexistência de proposta,,,
328,-,Componente eletronico - sensor indicador de presenca por celula infravermelha,"Componente Eletronico - Sensor Indicador De Presenca Por Celula Infravermelha Modelo: Lx-20 , Tensão Operação: 110/220 V, Área Detecção: 8m/140 Gráus , Corrente Estática: 0,15ma , Funcionamento: Alarme , Características Adicionais: Pequeno Com Suporte",182,Unidade,"42,1200",Cancelado por inexistência de proposta,,,
329,-,Barramento Cobre,"Barramento Cobre Tipo Construção: 57 Módulos (1016mm) , Uso: Disjuntor Din , Aplicação: Instalação Elétrica , Comprimento: 1.000 MM, Corrente Nominal: 80 A, Tipo: Monofásico",28,Metro,"70,9100",Cancelado por inexistência de proposta,,,
330,-,Barramento cobre,"Barramento Cobre Tipo Construção: 57 Módulos (1016mm) , Uso: Disjuntor Din , Aplicação: Instalação Elétrica , Comprimento: 1.000 MM, Corrente Nominal: 80 A, Tipo: Trifásico",64,Unidade,"212,5000",Cancelado por inexistência de proposta,,,
331,-,Serra copo,"Material: Aço Rápido Bimetal, Diâmetro: 19mm, 22mm, 29mm, 35mm, 38mm, 44mm, 51mm, 57mm, 64 MM, Características Adicionais: Suporte Fixação Completo, Brocas Piloto E Extensão,",72,Jogo,"234,2000",Cancelado por inexistência de proposta,,,
332,-,Serra copo,"Material: Aço Rápido Bimetal, Diâmetro: 30, 35, 45, 56, 65 MM, Características Adicionais: Suporte Fixação Completo, Brocas Piloto E Extensão,",72,Jogo,"93,3600",Cancelado por inexistência de proposta,,,
333,-,Paquímetro digital,"Material: Aço Inoxidável Temperado Alta Resistência, Capacidade: 300 MM, Funções: Conversão De Unidades De Medida Mm/Pol, Características Adicionais: Função Bateria Baixa Carga, Resolução: 0,01 MM, Alimentação: Bateria V,",18,Unidade,"456,2300",Cancelado por inexistência de proposta,,,
334,-,"Peças , acessórios equipamentos especializados","Aplicação 1: Chave De Impacto/Parafusadeira, Tipo 6: Jogo De Soquete De Impacto Com 10 Peças,",22,Unidade,"120,0000",Cancelado por inexistência de proposta,,,
335,-,Alicate de pressão,"Material: Ferro, Mordente Inferior: Curvo, Abertura Da Boca: 28 MM, Tamanho: 10 POL, Tratamento Superficial: Aço Niquelado,",41,Unidade,"54,9400",Homologado,,,
4,1,Acessório canaleta,"Material: Pvc Rígido Anti-Chama, Dimensões Da Canaleta: 50 X 20 X 2100 MM, Tipo: Cotovelo Externo,",365,"Peça 1,00 UN","10,9900",Cancelado no julgamento,,,
6,1,Acessório canaleta,"Material: Pvc Rígido Anti-Chama, Dimensões Da Canaleta: 50 X 20 X 2100 MM, Tipo: Cotovelo Interno,",365,"Peça 1,00 UN","11,9900",Cancelado no julgamento,,,
7,1,Acessório canaleta,"Acessório Canaleta Referência: 675052 , Material: Pvc , Aplicação: Canaletas De 32 X 20mm E 50 X 20mm, Sistema X , Cor: Branca , Tipo: Acoplador",277,Unidade,"16,6000",Cancelado no julgamento,,,
8,1,Acessório canaleta,"Acessório Canaleta Referência: Sistema X , Material: Termoplástico Auto-Extinguível , Cor: Branca , Tipo: Luva , Tamanho: 20x50 M",420,Unidade,"4,5000",Cancelado no julgamento,,,
12,1,Canaleta,"Canaleta Referência: Sistema ""X"" , Material: Pvc - Cloreto De Polivinila , Altura: 20 MM, Aplicação: Instalação Elétrica , Comprimento: 2,00 M, Cor: Branca , Tipo: Com Tampa , Largura: 50 MM, Características Adicionais: Com Divisória",555,Unidade,"35,8900",Cancelado no julgamento,,,
36,10,Braçadeira eletroduto,"Braçadeira Eletroduto Material: Nylon , Carga Ruptura: 80 N, Referência Fabricante: Hellermann Insulok T18l , Diâmetro Amarração: 55 MM, Comprimento: 200 MM, Cor: Preta , Largura: 2,5 M",114,Unidade,"6,0800",Cancelado no julgamento,,,
37,10,Abraçadeira,"Material: Náilon, Comprimento Total: 400 MM, Tipo: Com Ranhuras, Largura: 4,80 MM,",126,"Pacote 100,00 UN","30,3600",Cancelado no julgamento,,,
35,11,Abraçadeira,"Abraçadeira Material: Metal , Aplicação: Amarração , Diâmetro Amarração: 2 POL, Tipo: ""U""",150,Unidade,"2,5000",Cancelado no julgamento,,,
57,11,Condulete,"Condulete Material: Alumínio , Referência Fabricante: Tramontina , Cor: Sem Pintura , Tipo: Multiplex , Características Adicionais: Com Tampa E 3 Tampão , Bitola: 2 PO",50,Unidade,"41,6500",Cancelado no julgamento,,,
97,11,Conexão eletroduto,"Conexão Eletroduto Tipo: Box Reto , Bitola: 2 PO",50,Unidade,"6,8600",Cancelado no julgamento,,,
98,11,Conexão eletroduto,"Conexão Eletroduto Material: Aço , Tipo: Curva 90° , Características Adicionais: Soldável , Bitola: 2 PO",50,Unidade,"33,0000",Cancelado no julgamento,,,
134,12,Eletroduto,"Material: Pvc, Comprimento: 3 M, Cor: Preta, Diâmetro Nominal: 2 POL,",75,Unidade,"49,0000",Cancelado no julgamento,,,
172,12,Luva eletroduto,"Luva Eletroduto Material: Pvc Rígido Anti-Chama , Cor: Preta , Características Adicionais: De Alta Qualidade, Com Rosca Gás Em Ambas As , Normas Técnicas: Nbr 6150 , Tipo Fixação: Rosqueada , Bitola: 2 PO",170,Unidade,"4,8100",Cancelado no julgamento,,,
67,13,Conector Elétrico,"Conector Elétrico Material: Poliamida  , Aplicação: Cabo Elétrico 1,5 A 4 Mm2 , Tipo: Passagem Tipo Sak , Características Adicionais: Conexão Por Parafusos Para Cabos , Montagem: Sobrepor",22,"Pacote 100,00 UN","325,0000",Cancelado no julgamento,,,
68,13,Conector elétrico,"Conector Elétrico Material: Nylon , Componente: Condutores: Flexível: 0,14 - 4 Mm²; , Corrente Nominal: 32 A, Tipo: Conector De Emenda 2p , Tipo Construtivo: Grau De Proteção: Ip20 , Características Adicionais: Mola Cage Clamp Compact: Aço Inoxidável  Cromo-Ní- , Tensão Nominal: 450 V, Temperatura Máxima: 105 °",151,Unidade,"3,1000",Cancelado no julgamento,,,
69,13,Conector Elétrico,"Conector Elétrico Material: Nylon , Componente: Condutores: Flexível: 0,14 - 4 Mm²; , Corrente Nominal: 32 A, Tipo: Conector De Emenda 3p , Tipo Construtivo: Grau De Proteção: Ip20 , Características Adicionais: Mola Cage Clamp Compact: Aço Inoxidável  Cromo-Ní- , Tensão Nominal: 450 V, Temperatura Máxima: 105 °",8,"Pacote 100,00 UN","227,0000",Cancelado no julgamento,,,
70,13,Conector elétrico,"Conector Elétrico Material: Nylon , Componente: Condutores: Flexível: 0,14 - 4 Mm²; , Corrente Nominal: 32 A, Tipo: Conector De Emenda 5p , Tipo Construtivo: Grau De Proteção: Ip20 , Características Adicionais: Mola Cage Clamp Compact: Aço Inoxidável  Cromo-Ní- , Tensão Nominal: 450 V, Temperatura Máxima: 105 °",204,Unidade,"5,9700",Cancelado no julgamento,,,
77,14,Suporte eletrocalha,"Suporte Eletrocalha Material: Aço , Altura: 50 MM, Espessura Nominal: (Chapa 18) 1,25 MM, Tipo: Vertical , Largura: 100 MM, Tratamento Superficial: Pré-Zincado A Fogo , Normas Técnicas: Nbriec 61537",200,Unidade,"6,6600",Cancelado no julgamento,,,
78,14,Conexão Eletrocalha,"Conexão Eletrocalha Material: Aço , Aplicação: Eletrocalha Perfurada , Tipo: Emenda Interna ""U"" , Tamanho: 100 X 50 MM, Tratamento Superficial: Galvanizado",100,Unidade,"5,9400",Cancelado no julgamento,,,
79,14,Conexão Eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Cabeamento Lógico E Elétrico , Angulação: 90° , Tipo: ""T"" Horizontal , Tamanho: 100 X 50 MM, Características Adicionais: Com Tampa Galvanizada",50,Unidade,"20,0000",Cancelado no julgamento,,,
81,14,Conexão Eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Cabeamento Lógico E Elétrico , Tipo: ""T"" Vertical Descida , Tamanho: 100 X 50 MM, Características Adicionais: Com Tampa Galvanizada",10,Unidade,"44,2500",Cancelado no julgamento,,,
85,14,Conexão Eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Eletrocalha Perfurada , Angulação: 90° , Perfil: U , Tipo: Curva Vertical Externa , Tamanho: 100 X 50 M",50,Unidade,"26,1300",Cancelado no julgamento,,,
87,14,Conexão Eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Eletrocalhas , Angulação: 90° , Perfil: U , Tipo: Curva Vertical Interna , Tamanho: 100 X 50 M",30,Unidade,"36,5900",Cancelado no julgamento,,,
88,14,Conexão eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Cabeamento Lógico E Elétrico , Tipo: Redução A Esquerda , Tamanho: 200 X 100 MM, Características Adicionais: Redução 200 Para 100 Mm, Com Tampa.",10,Unidade,"38,7900",Cancelado no julgamento,,,
130,14,Eletrocalha,"Eletrocalha Material: Metálica , Dimensões: 100x50x3000 MM, Características Adicionais: Perfurada Em Chapa #18 , Tratamento Superficial: Pré Zincada A Fogo , Normas Técnicas: Abnt Nbr Iec 61537 , Formato: ""U""",101,Unidade,"79,9900",Cancelado no julgamento,,,
80,15,Conexão eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Cabeamento Lógico E Elétrico , Angulação: 90° , Tipo: ""T"" Horizontal , Tamanho: 200 X 50 MM, Características Adicionais: Com Tampa Galvanizada",30,Unidade,"40,3500",Homologado,,,
82,15,Suporte eletrocalha,"Suporte Eletrocalha Aplicação: Instalação De Cabeamento Estruturado , Tipo: Vertical",100,Unidade,"4,5000",Homologado,,,
83,15,Conexão eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Eletrocalha De 100 X 50 Mm , Tipo: Cotovelo Reto",50,Unidade,"49,0000",Homologado,,,
84,15,Conexão Eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Cabeamento Lógico E Elétrico , Angulação: 90° , Tipo: Curva Horizontal , Tamanho: 200 X 50 MM, Características Adicionais: Com Tampa Galvanizada",10,Unidade,"38,8000",Homologado,,,
86,15,Conexão eletrocalha,"Conexão Eletrocalha Material: Aço Galvanizado , Aplicação: Cabeamento Lógico E Elétrico , Angulação: 90° , Tipo: Curva Vertical Interna , Tamanho: 200 X 50 MM, Características Adicionais: Com Tampa Galvanizada",20,Unidade,"36,9700",Homologado,,,
129,15,Eletrocalha,"Material: Aço Galvanizado, Altura: 50 MM, Comprimento: 3.000 MM, Tipo: Chapa Perfurada, Largura: 200 MM,",51,Metro,"95,3500",Homologado,,,
114,16,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Monopolar , Curva De Disparo: C , Corrente Nominal: 10 A, Funcionamento: Termomagnético , Padrão: Din",93,Unidade,"9,4000",Homologado,,,
116,16,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Monopolar , Curva De Disparo: C , Corrente Nominal: 20 A, Funcionamento: Termomagnético , Padrão: Din",209,Unidade,"8,5200",Homologado,,,
117,16,Disjuntor Baixa Tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Monopolar , Curva De Disparo: C , Corrente Nominal: 25 A, Funcionamento: Termomagnético , Padrão: Din",176,Unidade,"7,0900",Homologado,,,
118,16,Disjuntor baixa tensão,"Disjuntor Baixa Tensão Tensão Máxima Operação: 127/220 V, Aplicação: Instalações Elétricas , Número De Fases: Monopolar , Curva De Disparo: C , Corrente Nominal: 32 A, Funcionamento: Termomagnético , Padrão: Din",153,Unidade,"20,9500",Homologado,,,
226,19,Filtro linha,"Filtro Linha Características Adicionais: Interruptor Liga/Desliga E Voltímetro , Quantidade Saída: 6 Tomadas Com 3 Pinos Tipo Fêmea Com Aterramento , Tensão Alimentação: 110/220 V, Corrente Máxima: 10 A, Potência Máxima: 1.100/2.200",195,Unidade,"12,1100",Cancelado no julgamento,,,
227,19,Filtro linha,"Filtro Linha Comprimento Cabo: 1,5 M, Características Adicionais: Led Indicativo De Funcionamento, Protetor Contra S , Normas Técnicas: Nbr 13249 , Quantidade Saída: 4 Tomadas 2p + T , Tensão Alimentação: 127/220 V, Corrente Máxima: 10 A, Potência Máxima: 1100-2200 V",205,Unidade,"21,2800",Cancelado no julgamento,,,
