Item,Grupo,Descrição,Descrição Detalhada,Quantidade,Unidade de Fornecimento,Valor Estimado,Situação,Empresa,Melhor Lance,Valor Negociado
132,-,Eletroduto,"Material: Polietileno Alta Densidade, Aplicação: Cabo Subterrâneo, Referência Fabricante: Kanaflex, Cor: Preta, Tipo: Corrugado, Características Adicionais: Flexível ,Impermeavel E Esforço Com Compressão Dia, Diâmetro Nominal: 2 POL, Acessórios: Guia,",202,Metro,"5,4000",Cancelado no julgamento,,,
133,-,Eletroduto,"Eletroduto Material: Polietileno Alta Densidade , Aplicação: Cabo Subterrâneo , Cor: Preta , Tipo: Corrugado , Características Adicionais: Flexível ,Impermeavel E Esforço Com Compressão Dia , Normas Técnicas: Nbr15715 , Diâmetro Nominal: 1 POL, Acessórios: Guia",120,Metro,"14,6700",Cancelado no julgamento,,,
138,-,Eletroduto,"Revestimento: Pvc, Material: Aço Galvanizado, Cor: Preta, Tipo: Flexível, Diâmetro Nominal: 2 POL,",60,Metro,"77,0000",Homologado,,,
141,-,Eletroduto,"Eletroduto Material: Metálico , Tipo: Flexível Sealtube , Diâmetro Nominal: 4 PO",1,Metro,"0,0001",Cancelado no julgamento,,,
144,-,Fita isolante elétrica,"Fita Isolante Elétrica Material Básico: Borracha Etileno-Propileno (Epr) Autofusão , Resistência À Tensão: Até 69.000 V, Largura Nominal: 19 MM, Cor: Preta , Comprimento Nominal: 20",248,Unidade,"8,8800",Cancelado no julgamento,,,
150,-,Fita isolante elétrica,"Fita Isolante Elétrica Material Básico: Pvc Auto-Extinguível , Resistência À Tensão: Até 750 V, Largura Nominal: 19 MM, Espessura Nominal: 0,19 MM, Cor: Preta , Comprimento Nominal: 20 M, Classe Temperatura: 105 °",700,Unidade,"28,9200",Homologado,,,
151,-,Interruptor,"Interruptor Material: Termoplástico Auto-Extinguível , Acabamento: Com Placa E Parafuso , Aplicação: Caixa 4 X 2 Pol , Corrente Nominal: 10 A, Tipo: Bipolar  Simples , Características Adicionais: Conjugado Com Placa 4"" X 2"" , Quantidade Seções: 1 UN, Tensão Nominal: 250 V, Tipo Acionamento: Tecla Simples Horizontal , Posição Relativa: Embutir , Formato: Retangular",500,Unidade,"13,8400",Homologado,,,
152,-,Interruptor,"Interruptor Material: Termoplástico Auto-Extinguível , Acabamento: Com Placa E Parafuso , Aplicação: Caixa 4 X 2 Pol , Corrente Nominal: 10 A, Tipo: Bipolar  Simples , Características Adicionais: Conjugado Com Placa 4"" X 2"" , Quantidade Seções: 2 UN, Tensão Nominal: 250 V, Tipo Acionamento: Tecla Simples Horizontal , Posição Relativa: Embutir , Formato: Retangular",465,Unidade,"20,6900",Homologado,,,
153,-,Interruptor,"Interruptor Material: Termoplástico Auto-Extinguível , Acabamento: Com Placa E Parafuso , Corrente Nominal: 10 A, Tipo: Modulado , Características Adicionais: Sistema X , Quantidade Seções: 1 UN, Tensão Nominal: 250 V, Tipo Acionamento: Tecla Simples Horizontal , Posição Relativa: Sobrepor , Formato: Retangular",425,Unidade,"14,8500",Homologado,,,
154,-,Interruptor,"Interruptor Material: Termoplástico Auto-Extinguível , Acabamento: Com Placa E Parafuso , Aplicação: Instalações Elétricas , Corrente Nominal: 10 A, Tipo: Modulado , Características Adicionais: Sistema X , Quantidade Seções: 2 UN, Tensão Nominal: 250 V, Tipo Acionamento: Tecla Simples Horizontal , Posição Relativa: Sobrepor , Formato: Retangular",402,Unidade,"20,4000",Homologado,,,
155,-,Interruptor,"Interruptor Material: Termoplástico Auto-Extinguível , Acabamento: Com Placa E Parafuso , Aplicação: Caixa 4 X 2 Pol , Corrente Nominal: 10 A, Tipo: Paralelo_(Three-Way) , Quantidade Seções: 1 UN, Tensão Nominal: 250 V, Tipo Acionamento: Tecla Simples Vertical , Posição Relativa: Embutir , Formato: Retangular",354,Unidade,"17,7900",Homologado,,,
156,-,Interruptor,"Interruptor Material: Termoplástico Auto-Extinguível , Acabamento: Com Placa E Parafuso , Aplicação: Instalações Elétricas , Corrente Nominal: 10 A, Tipo: Paralelo_(Three-Way) , Quantidade Seções: 1 UN, Tensão Nominal: 250 V, Tipo Acionamento: Tecla Dupla , Posição Relativa: Sobrepor , Formato: Retangular",322,Unidade,"16,8800",Homologado,,,
157,-,Interruptor automático por presença,"Interruptor Automático Por Presença Componentes: 3 Fios, Articulador , Aplicação: Ambiente Interno , Tipo Detecção: Movimento , Ângulo Abertura: 360° , Tensão Nominal: Bivolt V, Tipo Sinalizador: Iluminação",297,Unidade,"36,3800",Homologado,,,
160,-,Lâmpada led,"Lâmpada Led Potência Nominal: 5 W, Cor: Vermelha , Tipo Base: E-27 , Tipo Bulbo: A60 , Tensão Nominal: Bivolt , Frequência Nominal: 60 H",377,Unidade,"13,9200",Homologado,,,
162,-,Luminária,"Luminária Material Corpo: Termoplástico De Engenharia , Material Difusor: Acrílico Transparente , Fixação: Encaixe , Tipo: Tartaruga , Tipo Soquete: Cerâmico Com Base E-27 , Potência Nominal Lâmpada: 100 W, Quantidade Lâmpadas: 1 U",200,Unidade,"13,5800",Homologado,,,
